Date,Open,High,Low,Close,Adj Close,Volume
02-01-2015,8288.700195,8410.599609,8288.700195,8395.450195,8395.450195,101900
05-01-2015,8407.950195,8445.599609,8363.900391,8378.400391,8378.400391,118200
06-01-2015,8325.299805,8327.849609,8111.350098,8127.350098,8127.350098,172800
07-01-2015,8118.649902,8151.200195,8065.450195,8102.100098,8102.100098,164100
08-01-2015,8191.399902,8243.5,8167.299805,8234.599609,8234.599609,143800
09-01-2015,8285.450195,8303.299805,8190.799805,8284.5,8284.5,148000
12-01-2015,8291.349609,8332.599609,8245.599609,8323,8323,103200
13-01-2015,8346.150391,8356.650391,8267.900391,8299.400391,8299.400391,129600
14-01-2015,8307.25,8326.450195,8236.650391,8277.549805,8277.549805,146100
15-01-2015,8424.5,8527.099609,8380.549805,8494.150391,8494.150391,232100
16-01-2015,8504.049805,8530.75,8452.25,8513.799805,8513.799805,176000
19-01-2015,8550.049805,8570.950195,8531.5,8550.700195,8550.700195,125400
20-01-2015,8575.099609,8707.900391,8574.5,8695.599609,8695.599609,158700
21-01-2015,8719.650391,8741.849609,8689.599609,8729.5,8729.5,185900
22-01-2015,8745.849609,8774.150391,8727,8761.400391,8761.400391,175500
23-01-2015,8827.950195,8866.400391,8795.400391,8835.599609,8835.599609,191200
27-01-2015,8871.349609,8925.049805,8825.450195,8910.5,8910.5,192000
28-01-2015,8902.75,8985.049805,8874.049805,8914.299805,8914.299805,185100
29-01-2015,8901.5,8966.650391,8861.25,8952.349609,8952.349609,256300
30-01-2015,8996.599609,8996.599609,8775.099609,8808.900391,8808.900391,267300
02-02-2015,8802.5,8840.799805,8751.099609,8797.400391,8797.400391,210100
03-02-2015,8823.150391,8837.299805,8726.650391,8756.549805,8756.549805,208700
04-02-2015,8789.150391,8792.849609,8704.400391,8723.700195,8723.700195,195300
05-02-2015,8733.099609,8838.450195,8683.650391,8711.700195,8711.700195,173600
06-02-2015,8696.849609,8726.200195,8645.549805,8661.049805,8661.049805,171300
09-02-2015,8584.400391,8605.549805,8516.349609,8526.349609,8526.349609,146800
10-02-2015,8478.099609,8646.25,8470.5,8565.549805,8565.549805,196200
11-02-2015,8603.299805,8651.950195,8593.650391,8627.400391,8627.400391,161600
12-02-2015,8676.950195,8732.549805,8599.25,8711.549805,8711.549805,158800
13-02-2015,8741.5,8822.099609,8729.650391,8805.5,8805.5,221900
16-02-2015,8831.400391,8870.099609,8793.400391,8809.349609,8809.349609,136400
18-02-2015,8811.549805,8894.299805,8808.900391,8869.099609,8869.099609,147600
19-02-2015,8883.049805,8913.450195,8794.450195,8895.299805,8895.299805,213300
20-02-2015,8895.5,8899.950195,8816.299805,8833.599609,8833.599609,197600
23-02-2015,8856.849609,8869,8736.099609,8754.950195,8754.950195,139600
24-02-2015,8772.900391,8800.5,8726.75,8762.099609,8762.099609,149800
25-02-2015,8801.900391,8840.650391,8751.400391,8767.25,8767.25,135200
26-02-2015,8779,8786.049805,8669.450195,8683.849609,8683.849609,217500
27-02-2015,8729.5,8856.950195,8717.450195,8844.599609,8844.599609,249500
02-03-2015,8953.849609,8972.349609,8885.450195,8956.75,8956.75,218100
03-03-2015,8962.849609,9008.400391,8925.549805,8996.25,8996.25,177800
04-03-2015,9109.150391,9119.200195,8893.950195,8922.650391,8922.650391,248400
05-03-2015,8929.400391,8957.549805,8849.349609,8937.75,8937.75,160100
09-03-2015,8891.150391,8891.299805,8740.450195,8756.75,8756.75,155500
10-03-2015,8769.75,8778,8677.349609,8712.049805,8712.049805,163800
11-03-2015,8728.75,8755.599609,8682.349609,8699.950195,8699.950195,172800
12-03-2015,8740.650391,8787.200195,8732.900391,8776,8776,173900
13-03-2015,8844.049805,8849.75,8631.75,8647.75,8647.75,179200
16-03-2015,8656.75,8663.549805,8612,8633.150391,8633.150391,163300
17-03-2015,8689.099609,8742.549805,8630.799805,8723.299805,8723.299805,177000
18-03-2015,8742.900391,8747.25,8664,8685.900391,8685.900391,156400
19-03-2015,8749.450195,8788.200195,8614.650391,8634.650391,8634.650391,163500
20-03-2015,8627.900391,8627.900391,8553,8570.900391,8570.900391,174600
23-03-2015,8591.549805,8608.349609,8540.549805,8550.900391,8550.900391,150700
24-03-2015,8537.049805,8627.75,8535.849609,8542.950195,8542.950195,156700
25-03-2015,8568.900391,8573.75,8516.549805,8530.799805,8530.799805,161000
26-03-2015,8474.950195,8499.450195,8325.349609,8342.150391,8342.150391,280100
27-03-2015,8396,8413.200195,8269.150391,8341.400391,8341.400391,193000
30-03-2015,8390.950195,8492.299805,8380.75,8492.299805,8492.299805,134700
31-03-2015,8527.599609,8550.450195,8454.150391,8491,8491,167200
01-04-2015,8483.700195,8603.400391,8464.75,8586.25,8586.25,125500
06-04-2015,8615.799805,8667.549805,8573.75,8659.900391,8659.900391,146900
07-04-2015,8684.450195,8693.599609,8586.849609,8660.299805,8660.299805,148700
08-04-2015,8698.950195,8730.5,8679.799805,8714.400391,8714.400391,148200
09-04-2015,8756.200195,8785.5,8682.450195,8778.299805,8778.299805,152700
10-04-2015,8774.349609,8787.400391,8733.599609,8780.349609,8780.349609,139000
13-04-2015,8801.75,8841.650391,8762.099609,8834,8834,121600
16-04-2015,8757.049805,8760,8645.650391,8706.700195,8706.700195,142900
17-04-2015,8698.049805,8699.849609,8596.700195,8606,8606,150400
20-04-2015,8618.799805,8619.950195,8422.75,8448.099609,8448.099609,148900
21-04-2015,8416.099609,8469.349609,8352.700195,8377.75,8377.75,407800
22-04-2015,8400.400391,8449.950195,8284.700195,8429.700195,8429.700195,171800
23-04-2015,8478.200195,8504.950195,8361.849609,8398.299805,8398.299805,156000
24-04-2015,8405.700195,8413.299805,8273.349609,8305.25,8305.25,173600
27-04-2015,8330.549805,8334.450195,8202.349609,8213.799805,8213.799805,171500
28-04-2015,8215.549805,8308,8185.149902,8285.599609,8285.599609,174600
29-04-2015,8274.799805,8308.200195,8219.200195,8239.75,8239.75,160400
30-04-2015,8224.5,8229.400391,8144.75,8181.5,8181.5,267700
04-05-2015,8230.049805,8346,8220.450195,8331.950195,8331.950195,131700
05-05-2015,8338.400391,8355.650391,8280.599609,8324.799805,8324.799805,155500
06-05-2015,8316.599609,8331.950195,8083,8097,8097,209600
07-05-2015,8077,8122.600098,7997.149902,8057.299805,8057.299805,161600
08-05-2015,8131.5,8224.950195,8123.450195,8191.5,8191.5,183100
11-05-2015,8243.200195,8332.75,8224.650391,8325.25,8325.25,192000
12-05-2015,8326.150391,8326.650391,8115.299805,8126.950195,8126.950195,173400
13-05-2015,8181.549805,8254.950195,8089.799805,8235.450195,8235.450195,169800
14-05-2015,8232.450195,8236.25,8137.299805,8224.200195,8224.200195,134800
15-05-2015,8240.299805,8279.200195,8212.200195,8262.349609,8262.349609,129800
18-05-2015,8284.950195,8384.599609,8271.950195,8373.650391,8373.650391,148700
19-05-2015,8356.200195,8427.799805,8335,8365.650391,8365.650391,140300
20-05-2015,8392.650391,8440.349609,8391.450195,8423.25,8423.25,123600
21-05-2015,8434.5,8446.349609,8382.5,8421,8421,143800
22-05-2015,8432.5,8489.549805,8420.599609,8458.950195,8458.950195,187300
25-05-2015,8438.150391,8441.950195,8364.150391,8370.25,8370.25,121300
26-05-2015,8377.099609,8378.900391,8320.049805,8339.349609,8339.349609,116800
27-05-2015,8302.75,8342.849609,8277.950195,8334.599609,8334.599609,165500
28-05-2015,8345.700195,8364.5,8270.150391,8319,8319,232300
29-05-2015,8327.099609,8443.900391,8305.700195,8433.650391,8433.650391,363900
01-06-2015,8417.25,8467.150391,8405.400391,8433.400391,8433.400391,122200
02-06-2015,8442.799805,8445.349609,8226.049805,8236.450195,8236.450195,146800
03-06-2015,8232.450195,8236.700195,8094.149902,8135.100098,8135.100098,171400
04-06-2015,8155.149902,8160.049805,8056.75,8130.649902,8130.649902,154700
05-06-2015,8119.149902,8191,8100.149902,8114.700195,8114.700195,162100
08-06-2015,8124.350098,8131,8030.549805,8044.149902,8044.149902,135900
09-06-2015,8026.5,8057.149902,8005.149902,8022.399902,8022.399902,136000
10-06-2015,8024.149902,8152.25,8023.799805,8124.450195,8124.450195,136800
11-06-2015,8157.299805,8163.049805,7958.25,7965.350098,7965.350098,166200
12-06-2015,7959.850098,7995.600098,7940.299805,7982.899902,7982.899902,136600
15-06-2015,7986.600098,8057.700195,7944.850098,8013.899902,8013.899902,133000
16-06-2015,8004.200195,8061.850098,7952.350098,8047.299805,8047.299805,124000
17-06-2015,8084.200195,8136.850098,8048.950195,8091.549805,8091.549805,152500
18-06-2015,8113.700195,8186.899902,8101.799805,8174.600098,8174.600098,144800
19-06-2015,8201.150391,8250.799805,8195.650391,8224.950195,8224.950195,147100
22-06-2015,8259.299805,8369.450195,8257.400391,8353.099609,8353.099609,122700
23-06-2015,8377.450195,8398.450195,8334.950195,8381.549805,8381.549805,131700
24-06-2015,8399.400391,8421.349609,8338.900391,8360.849609,8360.849609,130100
25-06-2015,8336.25,8423.150391,8329.5,8398,8398,201200
26-06-2015,8393.950195,8408.549805,8339.700195,8381.099609,8381.099609,110600
29-06-2015,8247.049805,8329.450195,8195.650391,8318.400391,8318.400391,132000
30-06-2015,8316.349609,8378,8298.950195,8368.5,8368.5,158500
01-07-2015,8376.25,8481.599609,8370.150391,8453.049805,8453.049805,131800
02-07-2015,8471.950195,8479.25,8433.200195,8444.900391,8444.900391,112000
03-07-2015,8440.099609,8497.75,8424.150391,8484.900391,8484.900391,88400
06-07-2015,8386.150391,8533.150391,8386.150391,8522.150391,8522.150391,101500
07-07-2015,8525.5,8561.349609,8483.849609,8510.799805,8510.799805,122200
08-07-2015,8439.200195,8457.5,8341.400391,8363.049805,8363.049805,188100
09-07-2015,8364.849609,8400.299805,8323,8328.549805,8328.549805,131300
10-07-2015,8365.700195,8377.099609,8315.400391,8360.549805,8360.549805,154100
13-07-2015,8397.25,8471.650391,8355.400391,8459.650391,8459.650391,117800
14-07-2015,8470.599609,8480.25,8424.099609,8454.099609,8454.099609,101700
15-07-2015,8463.400391,8531.400391,8462.950195,8523.799805,8523.799805,105500
16-07-2015,8546.150391,8616.099609,8542.900391,8608.049805,8608.049805,116000
17-07-2015,8623.650391,8642.950195,8593.150391,8609.849609,8609.849609,105000
20-07-2015,8623.900391,8624.099609,8559,8603.450195,8603.450195,90600
21-07-2015,8601.5,8646.75,8517.900391,8529.450195,8529.450195,164100
22-07-2015,8512.25,8643.900391,8498.650391,8633.5,8633.5,136800
23-07-2015,8643.950195,8654.75,8573.799805,8589.799805,8589.799805,132900
24-07-2015,8588.150391,8589.150391,8513.5,8521.549805,8521.549805,127400
27-07-2015,8492.099609,8492.200195,8351.549805,8361,8361,136600
28-07-2015,8371.099609,8397.400391,8321.75,8337,8337,174600
29-07-2015,8365.599609,8381.5,8338.450195,8375.049805,8375.049805,141000
30-07-2015,8417,8458.900391,8408.299805,8421.799805,8421.799805,215200
31-07-2015,8456.099609,8548.950195,8448,8532.849609,8532.849609,203300
03-08-2015,8510.650391,8563.950195,8508.099609,8543.049805,8543.049805,156700
04-08-2015,8564.099609,8565.150391,8448.25,8516.900391,8516.900391,187400
05-08-2015,8547.450195,8591.849609,8545.849609,8567.950195,8567.950195,132800
06-08-2015,8585.799805,8606.299805,8551.5,8588.650391,8588.650391,134900
07-08-2015,8580.799805,8595.950195,8552.700195,8564.599609,8564.599609,143700
10-08-2015,8577,8621.549805,8497.799805,8525.599609,8525.599609,123400
11-08-2015,8548.450195,8556.25,8441.299805,8462.349609,8462.349609,154400
12-08-2015,8445.700195,8446.950195,8337.950195,8349.450195,8349.450195,190000
13-08-2015,8384.450195,8429.5,8339.75,8355.849609,8355.849609,189200
14-08-2015,8402.349609,8530.099609,8381.200195,8518.549805,8518.549805,155900
17-08-2015,8530.5,8530.599609,8428.049805,8477.299805,8477.299805,174700
18-08-2015,8505.849609,8525.75,8433.599609,8466.549805,8466.549805,153300
19-08-2015,8468.049805,8520.450195,8425.950195,8495.150391,8495.150391,130500
20-08-2015,8471.049805,8501.349609,8359.75,8372.75,8372.75,184100
21-08-2015,8305.400391,8322.200195,8225.049805,8299.950195,8299.950195,201300
24-08-2015,8055.950195,8060.049805,7769.399902,7809,7809,312400
25-08-2015,7895.399902,7925.399902,7667.25,7880.700195,7880.700195,299100
26-08-2015,7865.25,7930.049805,7777.100098,7791.850098,7791.850098,216600
27-08-2015,7921.600098,7963.600098,7862.299805,7948.950195,7948.950195,305000
28-08-2015,8053.700195,8091.799805,7961.649902,8001.950195,8001.950195,195600
31-08-2015,8009.25,8043.600098,7947.950195,7971.299805,7971.299805,198200
01-09-2015,7907.950195,7929.100098,7746.5,7785.850098,7785.850098,184900
02-09-2015,7856.649902,7862.549805,7699.25,7717,7717,215300
03-09-2015,7774.450195,7845.600098,7754.049805,7823,7823,155800
04-09-2015,7803.399902,7804.899902,7626.850098,7655.049805,7655.049805,193600
07-09-2015,7685.850098,7705.049805,7545.899902,7558.799805,7558.799805,141400
08-09-2015,7587.700195,7720.899902,7539.5,7688.25,7688.25,172200
09-09-2015,7805.850098,7846.049805,7764.549805,7818.600098,7818.600098,208400
10-09-2015,7729.049805,7819.850098,7678.5,7788.100098,7788.100098,160300
11-09-2015,7833.799805,7864.850098,7759.899902,7789.299805,7789.299805,136400
14-09-2015,7811.100098,7879.950195,7761.850098,7872.25,7872.25,122800
15-09-2015,7867.350098,7880,7799.75,7829.100098,7829.100098,136500
16-09-2015,7886.850098,7913.899902,7853.299805,7899.149902,7899.149902,140000
18-09-2015,7967.450195,8055,7955.850098,7981.899902,7981.899902,241800
21-09-2015,7911.5,7987.899902,7908.350098,7977.100098,7977.100098,121800
22-09-2015,8014.799805,8021.600098,7787.75,7812,7812,168400
23-09-2015,7737.350098,7882.899902,7723.25,7845.950195,7845.950195,146700
24-09-2015,7838.399902,7894.5,7804.100098,7868.5,7868.5,202500
28-09-2015,7892.799805,7893.950195,7787.950195,7795.700195,7795.700195,136300
29-09-2015,7725.700195,7926.549805,7691.200195,7843.299805,7843.299805,240700
30-09-2015,7924.25,7957.700195,7874.5,7948.899902,7948.899902,210700
01-10-2015,7992.049805,8008.25,7930.649902,7950.899902,7950.899902,156900
05-10-2015,8005.100098,8128.899902,8005.100098,8119.299805,8119.299805,183100
06-10-2015,8180.450195,8180.950195,8096.5,8152.899902,8152.899902,178500
07-10-2015,8146.200195,8188.899902,8132.899902,8177.399902,8177.399902,193900
08-10-2015,8196.75,8196.75,8105.850098,8129.350098,8129.350098,171700
09-10-2015,8186.350098,8232.200195,8139.649902,8189.700195,8189.700195,199700
12-10-2015,8231.5,8244.5,8128.200195,8143.600098,8143.600098,199100
13-10-2015,8121.950195,8150.25,8088.600098,8131.700195,8131.700195,145900
14-10-2015,8102.399902,8139.299805,8096.350098,8107.899902,8107.899902,138900
15-10-2015,8134.350098,8190.549805,8129.799805,8179.5,8179.5,167200
16-10-2015,8193.650391,8246.400391,8147.649902,8238.150391,8238.150391,156400
19-10-2015,8262.549805,8283.049805,8239.200195,8275.049805,8275.049805,124500
20-10-2015,8280.299805,8294.049805,8229.200195,8261.650391,8261.650391,155100
21-10-2015,8258.349609,8294.400391,8217.150391,8251.700195,8251.700195,144800
23-10-2015,8308.25,8328.099609,8280.75,8295.450195,8295.450195,152000
26-10-2015,8333.650391,8336.299805,8252.049805,8260.549805,8260.549805,133900
27-10-2015,8230.349609,8241.950195,8217.049805,8232.900391,8232.900391,156700
28-10-2015,8188.899902,8209.099609,8131.799805,8171.200195,8171.200195,188900
29-10-2015,8175.450195,8179.600098,8098,8111.75,8111.75,217500
30-10-2015,8123.549805,8146.100098,8044.399902,8065.799805,8065.799805,199500
02-11-2015,8054.549805,8060.700195,7995.600098,8050.799805,8050.799805,136100
03-11-2015,8086.350098,8100.350098,8031.75,8060.700195,8060.700195,132500
04-11-2015,8104.899902,8116.100098,8027.299805,8040.200195,8040.200195,122100
05-11-2015,8030.350098,8031.200195,7944.100098,7955.450195,7955.450195,132100
06-11-2015,7956.549805,8002.649902,7926.149902,7954.299805,7954.299805,219500
09-11-2015,7788.25,7937.75,7771.700195,7915.200195,7915.200195,211800
10-11-2015,7877.600098,7885.100098,7772.850098,7783.350098,7783.350098,165200
13-11-2015,7762.450195,7775.100098,7730.899902,7762.25,7762.25,160900
16-11-2015,7732.950195,7838.850098,7714.149902,7806.600098,7806.600098,149500
17-11-2015,7848.75,7860.450195,7793,7837.549805,7837.549805,145000
18-11-2015,7823.149902,7843.399902,7725.049805,7731.799805,7731.799805,143600
19-11-2015,7788.5,7854.899902,7765.450195,7842.75,7842.75,132600
20-11-2015,7841.899902,7906.950195,7817.799805,7856.549805,7856.549805,151900
23-11-2015,7869.5,7877.5,7825.200195,7849.25,7849.25,127000
24-11-2015,7837,7870.350098,7812.649902,7831.600098,7831.600098,130600
26-11-2015,7837.149902,7897.100098,7832,7883.799805,7883.799805,219800
27-11-2015,7910.600098,7959.299805,7879.450195,7942.700195,7942.700195,150300
30-11-2015,7936.25,7966,7922.799805,7935.25,7935.25,216300
01-12-2015,7958.149902,7972.149902,7934.149902,7954.899902,7954.899902,138600
02-12-2015,7976.700195,7979.299805,7910.799805,7931.350098,7931.350098,126300
03-12-2015,7902.299805,7912.299805,7853.299805,7864.149902,7864.149902,125700
04-12-2015,7817.600098,7821.399902,7775.700195,7781.899902,7781.899902,152500
07-12-2015,7816.549805,7825.399902,7746.049805,7765.399902,7765.399902,137600
08-12-2015,7738.5,7771.25,7685.450195,7701.700195,7701.700195,135100
09-12-2015,7695.5,7702.850098,7606.899902,7612.5,7612.5,140000
10-12-2015,7643.299805,7691.950195,7610,7683.299805,7683.299805,140800
11-12-2015,7699.600098,7703.049805,7575.299805,7610.450195,7610.450195,167800
14-12-2015,7558.200195,7663.950195,7551.049805,7650.049805,7650.049805,148900
15-12-2015,7659.149902,7705,7625.100098,7700.899902,7700.899902,134300
16-12-2015,7725.25,7776.600098,7715.75,7750.899902,7750.899902,154300
17-12-2015,7783.049805,7852.899902,7737.549805,7844.350098,7844.350098,175900
18-12-2015,7828.899902,7836.149902,7753.350098,7761.950195,7761.950195,191400
21-12-2015,7745.649902,7840.75,7733.450195,7834.450195,7834.450195,126300
22-12-2015,7829.399902,7846.299805,7776.850098,7786.100098,7786.100098,125700
23-12-2015,7830.450195,7871.450195,7826.100098,7865.950195,7865.950195,117900
24-12-2015,7888.75,7888.75,7835.5,7861.049805,7861.049805,93500
28-12-2015,7863.200195,7937.200195,7863,7925.149902,7925.149902,122900
29-12-2015,7929.200195,7942.149902,7902.75,7928.950195,7928.950195,113000
30-12-2015,7938.600098,7944.75,7889.850098,7896.25,7896.25,106800
31-12-2015,7897.799805,7955.549805,7891.149902,7946.350098,7946.350098,150900
04-01-2016,7924.549805,7937.549805,7781.100098,7791.299805,7791.299805,134700
